Genusspecies Amazon fishbase;Genusspecies base morpho;EdHd;MoBd;JlHd;EhBd;BlBd;HdBd;PFiBd;PFlBl;CFdCPd;Length
Ancistrus.bolivianus;Ancistrus.bolivianus;0,2566846977;0;0;0,6256180556;4,6877523148;0,842599537;0;0,2401609;2,287944665;9
Ancistrus.bufonius;Ancistrus.bufonius;0,3135904823;0,247588342;0,3119047759;0,5428475856;4,8089255181;0,5529734009;0,2334761413;0,1956750371;2,3590092418;12
Ancistrus.cirrhosus;Ancistrus.cirrhosus;0,2683384259;0;0;0,4875186198;5,2708254898;0,7767919988;0;0,3169503106;1,1718754476;9
Ancistrus.dolichopterus;Ancistrus.dolichopterus;0,3333870968;0;0;0,6803497637;5,2327755074;0,8492956782;0;0,3287440532;1,8399230769;12
Ancistrus.dubius;Ancistrus.dubius;0,4105668236;0;0;0,7606300813;6,3821341463;0,8978861789;0;0,3281620122;1,5652173913;13
Ancistrus.fulvus;Ancistrus.fulvus;0,308243649;0,2260281876;0,3216888029;0,5384982354;4,7223359785;0,560310623;0,2106610393;0,2011271728;2,3238501651;9
Ancistrus.heterorhynchus;Ancistrus.heterorhynchus;0,3839299451;0;0;0,8542168157;6,0537525791;0,838161967;0;0,2998821312;2,1668825091;6
Ancistrus.hoplogenys;Ancistrus.hoplogenys;0,402;0;0;0,5864067797;5,4238305085;0,8305084746;0;0,2802884946;3,5;16
Ancistrus.jelskii;Ancistrus.jelskii;0,3148310825;0,2424044833;0,3157804776;0,5342785869;4,7085378764;0,5613392573;0,2169354967;0,1969388802;2,3692969767;8
Ancistrus.latifrons;Ancistrus.latifrons;0,3246018905;0,2724257899;0,3456734797;0,5233377836;4,5679333932;0,5352970911;0,2561974509;0,1999471321;2,5068090296;15
Ancistrus.leucostictus;Ancistrus.leucostictus;0,4033385001;0;0;0,5319366203;5,0432288919;0,7137021972;0;0,3277516241;2,7143456879;10
Ancistrus.lineolatus;Ancistrus.lineolatus;0,320147619;0;0;0,5858381295;4,8777446043;0,7553956835;0;0,270677346;1,6980657307;9
Ancistrus.macrophthalmus;Ancistrus.macrophthalmus;0,463721496;0;0;0,7984496124;7,0465271318;0,9494806202;0;0,2344571299;1,5463366521;8
Ancistrus.maculatus;Ancistrus.maculatus;0,3135904823;0,247588342;0,3119047759;0,5428475856;4,8089255181;0,5529734009;0,2334761413;0,1956750371;2,3590092418;12
Ancistrus.malacops;Ancistrus.malacops;0,3148310825;0,2424044833;0,3157804776;0,5342785869;4,7085378764;0,5613392573;0,2169354967;0,1969388802;2,3692969767;8
Ancistrus.megalostomus;Ancistrus.megalostomus;0,3148310825;0,2424044833;0,3157804776;0,5342785869;4,7085378764;0,5613392573;0,2169354967;0,1969388802;2,3692969767;8
Ancistrus.montanus;Ancistrus.montanus;0,2538555556;0;0;0,8260420629;6,2714309005;0,9782077061;0;0,2341149006;1,3114754098;9
Ancistrus.nudiceps;Ancistrus.nudiceps;0,3148310825;0,2424044833;0,3157804776;0,5342785869;4,7085378764;0,5613392573;0,2169354967;0,1969388802;2,3692969767;8
Ancistrus.occidentalis;Ancistrus.occidentalis;0,4410142857;0;0;0,7132221075;5,8367262649;0,7608282159;0;0,3139953222;1,171984375;9
Ancistrus.occloi;Ancistrus.occloi;0,3135904823;0,247588342;0,3119047759;0,5428475856;4,8089255181;0,5529734009;0,2334761413;0,1956750371;2,3590092418;12
Ancistrus.parecis;;;;;;;;;;;
Ancistrus.ranunculus;Ancistrus.ranunculus;0,2170573597;0;0;0,8203981753;5,9166490438;0,9833237667;0;0,2646249368;2,1054188132;13
Ancistrus.tamboensis;Ancistrus.tamboensis;0,3062908163;0;0;0,6846294643;5,8035714286;0,875;0;0,2936161538;1,3204027869;8
Ancistrus.temminckii;Ancistrus.temminckii;0,3526907156;0;0;0,5883070175;4,6228421053;0,8158333333;0;0,2850699425;1,6531836735;10
Ancistrus.tombador;;;;;;;;;;;
Ancistrus.variolus;Ancistrus.variolus;0,3047471162;0,2421492296;0,3267898506;0,528111631;4,7535012371;0,5643283965;0,208446894;0,1915225556;2,2191738573;5
Ancistrus.verecundus;;;;;;;;;;;
Andinoacara.coeruleopunctatus;Andinoacara.coeruleopunctatus;0,2116757458;0,3744464779;0,3464227418;0,504346032;2,2217985504;0,7771125536;0,3362434236;0,3414666442;1,6305484095;14
Anduzedoras.oxyrhynchus;Anduzedoras.oxyrhynchus;0,5297281553;0;0,3227378641;0,507041958;4,6866503497;0,7202797203;0;0,143839592;5,5066079295;32
Anodus.elongatus;Anodus.elongatus;0,499895855;0,4126547455;0,5719433451;0,4016929425;5,4385885092;0,5079885726;0,2323669453;0,1190756438;4,7260033318;30
Anodus.orinocensis;Anodus.orinocensis;0,3655049343;0,4666594873;0,5741975017;0,4102500987;3,9333035902;0,4770285585;0,1693050876;0,1242962897;3,5841742555;28
Anostomoides.laticeps;Anostomoides.laticeps;0,5122465272;0,4206312715;0,3501836181;0,3412693046;3,3227490331;0,4234847051;0,1851959538;0,153664572;2,8332687914;18,394
Anostomoides.passionis;Anostomoides.passionis;0,3515630572;0,4824146421;0,3634256508;0,4999699738;3,1138394198;0,5613569184;0,2455944859;0,1648388147;2,5504273504;31
Anostomus.anostomus;Anostomus.anostomus;0,6154230769;0,5548111899;0,2449358974;0,4920053385;4,3859471907;0,4082380342;0,3401983618;0,1408160611;2,0173272463;16
Anostomus.longus;;;;;;;;;;;
Anostomus.ternetzi;Anostomus.ternetzi;0,6124668435;0,5924609835;0,3187104673;0,3965840506;4,796096568;0,4375736581;0,2045462662;0,1065653726;3,1333833333;12
Apareiodon.davisi;;;;;;;;;;;
Apareiodon.piracicabae;Apareiodon.piracicabae;0,4247798679;0,2964142458;0,3962627577;0,4617722134;4,9924881488;0,4859122402;0,1223896925;0,1691029674;2,0709334906;12
Aphanotorulus.unicolor;Aphanotorulus.unicolor;0,2859057405;0;0;0,627395625;5,0182454669;0,7944602181;0;0,2382462525;2,5495979604;14
Aphyocharacidium.bolivianum;Aphyocharacidium.bolivianum;0,5714913367;0,6061096378;0,4532242148;0,5646458173;3,2293008402;0,5076901561;0,2540424658;0,1572136451;2,1248304648;3
Aphyocharax.agassizii;Aphyocharax.agassizii;0,5475105885;0,4923549813;0,3466266963;0,5048110966;3,3206388263;0,5459478947;0,1775004551;0,1710568586;3,0887322513;3
Aphyocharax.alburnus;Aphyocharax.alburnus;0,5844155844;0,5026730392;0,4637272727;0,4545508772;4,8540229799;0,5741255769;0,1604718268;0,1521028192;2,3175079365;8
